,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50
Cell_54,4.02,4.1349,4.1251,4.4344,3.8395,0.0749,1.7234,1.7025,0.2306,1.2146,1.4901,1.1813,1.3686,1.4301,1.4983,0.4076,1.4323,0.653,0.6809,0.6315,0.4083,1.4224,1.2307,0.6189,0.3242,1.5351,0.9787,1.3112,0.6257,0.9107,1.383,1.1907,0.5661,0,0.0984,1.1698,1.0776,1.3223,0.7693,0.7707,0.7436,1.6484,1.2696,0.4464,0.887,1.6193,1.5285,0.9657,0.6164,1.3258
Cell_55,4.1653,4.3655,4.57,5.0022,2.8703,0.333,1.0683,0.9705,0.9382,0.212,0.883,1.5796,1.1372,0.9107,1.0172,0.5056,0.7946,0,0.9253,1.119,0.8157,1.2704,0.5863,0.5881,1.5564,0.6414,0.3866,1.6542,0.9004,0.502,0.9386,0.7596,1.0139,1.0161,0.9496,0.4946,0.4857,1.467,1.4957,0.6194,0.932,0.6423,0.7952,2.1094,0.8566,0.7313,1.1506,1.3166,0.8813,0
Cell_56,4.0509,3.0595,5.0218,4.2609,4.2419,1.4656,0.4695,0.7074,0.78,1.4898,1.9299,0.2568,0.1492,1.1252,1.4403,0.5809,0.2294,1.5812,1.4417,2.1274,1.647,0.6582,0.6021,1.2767,0.8491,0.3752,1.5535,0,0.8932,0.9066,1.0001,0.6458,1.3973,1.2161,0.6412,0.9981,1.0771,1.6911,1.2027,1.0275,1.0433,0.5739,2.0292,0.4951,1.2638,1.8865,0.7969,1.443,0.5891,0.4255
Cell_57,4.8169,3.6847,4.4507,3.8175,4.3817,0.1881,0.9813,0.8956,1.0274,1.3128,0.2977,1.0039,1.5738,1.2142,0.5775,1.7053,0.7751,0,1.1894,1.2209,1.7524,0.8109,0.8472,0.9227,0.345,0.8977,1.3455,1.1531,1.2404,1.2823,0.39,0.9182,0.9236,1.1075,1.9178,1.6369,1.9921,1.2691,1.0504,2.2285,1.4129,0.952,0.308,1.9197,1.2475,0.3882,1.1622,1.9651,1.0477,0.8274
Cell_58,3.5056,4.0144,4.8173,3.8707,4.0321,1.7055,1.2358,1.2779,1.0624,0,1.4158,1.0048,0.5326,0.4249,0.4714,0.9086,0.9318,1.5948,1.5049,1.2534,0.7847,1.5889,1.4862,0.3339,1.8654,0.6207,0.4937,0.5637,0.4816,0.8652,1.2969,0.479,1.6218,0.7083,1.1049,1.1591,2.1159,1.295,0.7576,0.8705,0.7788,1.0317,0.9759,1.2138,1.3407,0.7123,0.4114,0.5474,1.0405,0.2201
Cell_59,3.446,4.6213,3.8747,2.9345,5.4926,1.5641,0.839,0.741,1.1206,0.7437,1.3022,1.1145,0.9247,0.6164,1.3345,1.0284,0.3305,1.7089,0.4939,1.1965,0,0.5097,1.2318,2.1236,1.0844,1.4128,0,1.5968,1.3678,0,1.5515,1.1007,1.2777,0.8376,0.5148,0.8489,0.7665,1.802,1.908,1.2398,1.4792,0.7542,0.9581,1.5785,0.8076,0.8789,1.182,1.0051,0.9759,1.5295
Cell_60,4.3297,2.294,3.9742,4.7694,4.5117,0.2867,0.1714,1.5567,0.9993,0.9824,0.7777,2.1314,0.9031,0.6213,0,1.8007,1.4244,1.1405,2.1434,0.2363,1.6055,0.8382,0.392,1.8541,1.0935,1.2198,0.7956,1.3258,0.7543,2.2137,1.0386,0.8644,1.7108,1.6556,1.2621,1.0824,1.0727,1.1504,0.1838,0.5082,1.199,0.143,1.1288,0.4548,0.2357,0.4179,1.5712,0.812,1.6438,0.7226
Cell_61,3.3388,3.5186,4.1099,4.1744,4.4454,0.426,0.6174,1.052,1.5143,0.3643,0.9157,1.0177,1.4548,0.7977,1.2745,2.1339,1.4779,0.8156,0.5042,0.6332,0.9363,1.7797,0.8591,0.1836,0.8873,0.6799,0.6843,0.698,1.6381,1.2389,0.397,1.2805,0.0871,1.2765,1.7489,0.849,1.0129,1.006,0.2496,0.9348,1.3078,0.9053,0.1186,0.9448,1.1568,1.3374,1.4222,1.3272,1.2921,0.9817
Cell_62,3.4063,4.3056,4.9671,3.6012,4.0138,1.649,0.8486,1.1832,0.9787,0.963,0.4209,0.8574,1.4148,1.0188,1.5012,0.786,0.7406,0.2127,0.9882,1.4807,1.2928,0.7779,0.8333,1.42,1.2149,1.3151,0.7328,0.9303,0.7531,1.4752,1.3381,1.0794,1.4557,1.3442,0.7577,1.0327,2.6258,0.5798,0.951,0.3366,1.1344,1.8751,1.2484,1.8553,1.0531,1.6714,0.5326,1.3285,0.7464,0.8832
Cell_63,2.8865,2.7695,3.6574,3.8952,3.8512,1.5431,1.0068,0.9113,1.6524,0.6528,0,0.9343,1.1567,1.3426,0.7498,0.7834,0.7344,0.4787,1.9108,1.0565,0.0863,1.4394,0.2963,0.5953,1.4317,1.592,1.1886,1.2299,0.8931,1.5623,0.4856,0.7221,1.294,0.64,1.3868,0.109,0.4582,1.2014,0.7978,0,1.2186,1.1571,1.0675,0.1856,1.1664,0.0242,1.3377,1.2976,1.0193,0.6881
Cell_64,4.9738,5.3214,3.9772,4.3583,4.3905,2.654,1.3202,0.9572,0.6949,0.6654,1.0878,0.3384,1.3825,1.0893,0.4337,1.3068,1.143,0.6587,1.765,2.0225,0.5871,0.6936,0.7007,0.9513,1.0753,1.1461,1.3991,1.116,0.5339,0.9521,1.2861,0.7137,1.4401,0.7114,0.8835,1.1439,0.7812,1.0144,1.1769,0.9283,1.3227,0.6683,1.4822,0.9911,1.3914,0.6442,1.4394,1.9309,1.3552,1.1614
Cell_65,2.568,4.082,3.5726,4.1079,3.5752,0.8421,0.541,1.5158,0,0.5524,0,0.9216,1.1054,0.0802,0.5715,1.429,1.9868,1.1346,1.3194,0.4724,0.6783,0.5065,1.1023,1.0192,1.1057,0.2486,0.1281,1.2387,1.2749,0.1174,1.2767,0.8994,0.3163,1.6174,0.3235,0.835,0.8109,0.4368,0.5779,0.9498,1.139,1.4564,1.3218,1.3851,0.8819,0.446,0.2718,0.9644,1.5706,1.5863
Cell_66,4.2073,3.8576,5.1491,4.2881,4.8336,1.7863,1.5017,0.6926,0.8921,1.0402,0,0.9089,1.9478,0.8734,1.3332,0.4123,1.2798,0.5742,1.1116,0.8725,0.9601,0.875,1.2987,1.4233,0,1.6762,0.9363,0.8135,0.97,0.3534,1.17,1.025,0.9052,1.6083,1.0984,1.4832,0.8633,1.6433,0.8586,1.0856,0.9505,0.4573,1.2518,0.346,0.6072,1.576,0.9216,0.4997,0.9945,0.8796
Cell_67,3.5533,4.1586,4.822,4.8386,3.3299,1.5316,1.0003,1.0572,0.6856,1.18,0.6462,0.7051,0.8841,1.3018,0.5418,0.6308,0.7666,1.7203,1.0942,1.579,1.513,1.3279,0,0.4661,0.3175,0.3008,1.348,0.0241,1.1557,0.3403,1.4914,1.3333,0.0008,1.3125,1.3014,0.6921,0.2841,1.1683,0.8141,1.2699,1.5207,0.7762,1.8188,1.7766,1.0642,0.6304,1.7243,0.6425,0.2158,1.0052
Cell_68,3.9506,4.0197,3.7192,4.3216,5.1304,1.0627,0.5142,2.0393,0.7673,1.0556,0.268,0.6411,0.907,0.5273,0.7194,2.1936,0.96,0.1328,1.1766,1.8708,0.7618,2.0763,1.3527,0.9594,1.1284,0.6096,1.1153,1.5251,0.953,0.1196,0.8788,0.7441,1.1754,0.6971,1.3998,0.8367,1.4479,0.9913,1.155,1.2185,0.7766,1.3453,0,0.8115,0,1.2931,0,0.8827,0.6902,1.2984
Cell_69,4.1432,3.7688,3.1423,4.4075,3.9423,1.9012,1.8215,1.7273,0.9751,0.7856,1.3711,1.5596,0.426,1.6115,0.6022,0.6616,0.7759,1.4813,1.0597,1.0591,0.8833,1.0183,1.2762,0.7176,1.3156,0.5471,1.0583,0.2939,1.0059,1.1105,0.7288,1.1887,1.3667,1.102,0.9233,1.4621,1.4178,0.4684,2.0385,1.7053,1.0991,0.9176,0.7399,1.6917,1.026,1.4511,1.7221,0.3128,2.4345,1.1155
Cell_70,3.7941,4.3534,4.4786,3.9965,3.9472,1.212,1.392,1.0694,0.8098,1.1095,1.5061,1.8429,0.9062,1.3624,1.1749,0.814,0.0881,0.7831,0.5164,1.3189,1.5767,0.8899,1.0694,1.3661,2.5982,0.4556,0.4168,1.0895,1.5536,1.5069,1.6738,1.0213,0.7086,0.772,1.1793,1.2384,1.0118,0.3403,0.4514,0.7652,0.5405,0.818,0.8894,1.8506,1.055,1.5208,1.1889,1.4216,1.1123,1.4824
Cell_71,5.563,4.1534,4.7784,4.033,3.1937,1.9971,1.2069,1.4014,0.9954,0.8704,0.6524,0.8816,1.4406,1.2464,0.6218,1.7465,1.3125,1.2603,0.7947,0.6324,1.9488,1.5651,1.2419,1.0951,0.9768,1.2937,0.6879,0.5214,1.157,0.7999,1.7027,0.0994,1.2841,0.2316,0.0428,0.8644,0.6482,0.8426,0.9002,1.1339,0.5097,1.1703,0.8548,1.2303,0.9425,0.9663,0.0988,1.3114,1.1919,0.6192
Cell_72,4.5669,4.4142,4.3846,4.6227,4.1181,0.5301,0.747,1.0364,1.1761,1.4427,0.3263,1.1992,1.6776,1.5387,1.2998,0.5763,1.0975,0.4788,1.4731,0.9821,0.9768,0.8496,1.7051,1.5148,0.776,1.241,0.3226,1.2773,0.7101,0.953,0.894,0.6979,1.0126,1.3134,0.9288,0.2258,0.1267,1.517,0.6136,0.7762,0.8734,1.1834,1.1134,0.694,0.9579,0.5843,1.7766,0.0529,0.7984,0
Cell_73,3.9671,2.7845,3.9064,3.3723,3.2639,1.2547,0.8757,1.1926,0.3665,0.7714,0.6857,0.7472,1.6856,0.7135,0.443,0.7802,1.0768,0.9679,1.4438,1.3749,1.2041,0.8973,1.5711,1.3129,0.0329,1.1019,1.8643,0.369,0.3194,1.6941,0.894,1.5682,2.1436,1.3957,0.7491,0.4701,0.3032,1.0539,1.4689,1.2886,0.5087,1.3905,0.6009,0.4224,1.1228,1.0166,0.3724,0.5825,1.0064,1.1575
Cell_74,5.0628,4.5584,3.233,4.7787,4.2025,1.5773,1.4304,0.7089,1.6824,1.6604,0.3179,1.1355,0.7425,1.1442,1.8308,0.4413,1.0972,1.3612,1.4707,1.771,0.4697,1.3394,0.6034,1.1923,0.969,1.5163,1.7431,0.5566,1.5031,1.3652,0.1667,1.2632,0.574,1.0462,0.9326,1.0167,1.0791,0.8051,1.7373,0.6885,1.416,0.486,0.7859,1.197,0.6176,0.7702,1.5907,2.1049,0.5649,0.7277
Cell_75,3.4539,4.5314,4.399,5.237,3.4279,1.65,1.2144,1.1411,1.3705,0.1936,0.9102,0.85,0.6167,0.5325,1.422,1.3291,0.3773,1.0535,1.2089,0.8466,0.7785,1.1536,0.6199,0.4068,0.5287,1.582,0,0.8607,0.8111,0.9202,1.5647,1.1911,1.6435,0.6821,1.2537,1.7545,0.2719,1.2722,0.5958,0.5035,0.8131,1.3708,1.2449,0.79,0.8456,1.2461,0.6685,0.9384,1.4857,0.4458
Cell_76,1.2006,1.4245,1.3514,0.9379,0.6953,4.0147,3.6055,4.1231,5.001,2.9316,1.4823,2.2303,0.531,0.6021,1.34,0.8459,1.2255,1.1247,1.1788,1.9915,0.456,1.1893,1.3883,0.0347,1.6576,1.2868,0.8872,1.4561,0.5009,1.4497,0.9097,0.9252,1.6768,1.3765,0.9578,1.7843,1.1112,1.3108,1.1203,1.2729,0.4945,1.0182,0.2683,0.0332,1.0413,1.7025,0.7348,1.1339,1.4108,1.5253
Cell_77,1.7299,0,0.0272,1.5498,1.6586,3.9642,4.1262,3.4197,4.1323,4.0989,1.4517,1.8226,0.869,1.9391,0.3726,0.6819,0.8921,0.971,1.1979,0.8281,0.9486,0,0.5826,1.6415,0.6633,1.443,1.1444,0,1.3257,1.7226,1.2654,1.501,0.4821,1.6459,0.7118,1.0355,1.2817,1.8142,0.9332,0.94,0.9967,0.6051,0.1186,1.321,1.2225,0.8129,0.5899,1.3948,1.0643,1.2873
Cell_78,0.8893,0.7811,0.8562,0.6489,0.8112,3.8782,4.6257,3.4498,4.0864,4.7998,0.9185,0.8755,0.5752,1.9523,0.7509,0.8162,1.3326,0.7397,1.4828,0.3029,1.4556,0.5107,1.5024,1.0534,1.8279,1.8081,0.2246,1.2181,0.6262,0.7895,1.6421,0.9238,0.7119,0.7689,0.3367,1.1361,0.0582,1.6654,0.6311,0.6086,0.7626,0.0715,1.6989,0.5965,0.4279,1.6574,1.5202,1.0242,0.8407,0.161
Cell_79,1.587,1.58,0.7675,0.7279,0.7044,3.6619,3.705,4.7148,3.6591,3.7351,1.2653,0.7107,1.0738,0.7708,2.0405,1.3639,1.306,1.3036,1.5987,0.153,1.0399,0.719,0.8689,0.796,0.5755,1.3836,1.2186,0.6299,0.8484,1.4348,0.706,0.7787,0.0844,1.6442,0.4246,0.5114,1.3667,1.4716,1.2148,0.8962,1.796,1.4424,0.659,0.6776,0.3443,0.8611,0.8405,0.9387,0.8798,1.59
Cell_80,0.9125,0.5961,1.7449,1.7876,1.9697,4.0926,3.2752,4.3127,4.3671,4.6187,1.6054,1.3728,1.2586,0.7118,1.2612,0.7614,1.6961,1.1637,0.2336,1.2388,1.3724,1.1156,0.6418,1.1291,1.2543,0.401,1.4943,0.8848,0.8647,1.293,0.4774,0.4687,1.3494,0,1.6311,1.2282,1.5739,0.3118,1.1208,1.1545,0.7595,1.8015,1.1135,1.3175,0.8121,1.6351,1.3255,1.5328,1.8027,0.9497
Cell_81,1.1348,1.041,2.2835,0.8692,1.433,3.6819,4.5989,3.2579,3.4169,4.0555,1.1192,1.1778,0.6841,0.8862,0.6312,1.1195,0.6147,1.4229,1.5129,0.9367,0.1651,1.1344,1.0737,1.2914,0.6903,1.0672,1.1554,1.7927,1.8904,0.5934,0.7789,0.5041,1.9078,0.1988,0.945,1.618,0.8003,1.0328,0.5539,0.9378,0.5759,1.9792,0.6989,1.2296,1.9853,0.9565,0.3864,1.2,0.9663,0.5553
Cell_82,0.7966,1.3426,0.1655,0.5874,0.6807,3.0379,3.7964,3.8655,4.2912,3.9854,0.4198,0.9636,1.9256,0.8766,1.2778,0.8258,0.5199,1.2991,0.981,1.1338,1.4436,1.1362,0.1973,0.4189,0.682,1.0924,0.7475,0.0719,0.9313,0.0975,0.3734,0.8693,1.0584,2.1042,0.3833,1.7002,1.0928,1.5456,0.3065,0.2776,1.9221,0.4891,0.7598,0.7435,0.7386,0.9616,1.2754,0.8574,0.7039,0
Cell_83,0.8244,0.6133,1.6053,1.2603,2.1293,4.3614,3.8729,4.1533,3.3021,3.7344,1.2981,0.7066,1.0291,2.0398,0.1361,0.4975,0.9298,0.7168,0,0.4705,1.4168,1.0294,1.093,0.3145,1.285,0.909,0.8367,0.2779,0.8794,0.5245,0.402,1.2177,1.0921,0.4229,0.9358,0.6915,0.0154,0.9184,1.0678,1.1638,2.0472,0.2308,0.9915,1.9937,0.7615,1.0479,1.2331,0.8632,0.368,1.3021
Cell_84,1.3211,0.2206,1.4066,1.3158,1.1564,4.1857,3.015,3.2916,3.8837,4.1118,0.5781,1.4274,1.2909,0.7118,1.3288,1.3857,1.3918,0.1239,0.6066,0.767,0.8459,1.4822,1.6853,1.0016,0.9007,1.2651,1.0091,2.0977,0.8613,1.3347,1.2988,1.8337,0.9406,1.2784,1.6032,1.2338,0.42,1.5385,0.9932,0.3711,1.3028,0.8142,0.9048,0.5214,0.9048,1.6768,1.5891,0.8603,0.8443,1.2492
Cell_85,1.2524,1.2452,0.999,2.5458,1.1391,3.4569,3.4809,3.6686,4.1276,3.5569,0.7764,1.1741,0.5735,1.4971,1.7661,0.913,0.9431,1.3388,0.7403,0.6589,1.062,1.2031,0.4912,0.7835,1.4483,1.3247,0.9738,0.4124,0.4862,0.9754,0.7869,0.8863,0.4003,1.2573,1.4588,0.7627,1.4974,1.1304,0.6923,1.0226,0.6938,0.629,1.4961,1.3553,1.2717,0.894,0.9085,1.1714,2.3013,0.1448
Cell_86,0.94,1.6967,0.801,0.6825,1.7016,4.842,3.7536,3.0143,3.8929,4.7005,1.2358,0.546,0.8429,2.0661,0.4653,0.7847,1.8342,0.5359,0.3274,1.1711,0.9104,0.4157,0.6658,1.2718,1.0914,1.6225,1.0001,0.2642,0.8969,1.0587,0.9954,0.5995,0.5778,0.5554,0.4107,1.1039,0.7877,0.7983,0.5869,1.2757,1.8846,0.6997,1.1958,1.1914,1.6328,0,1.3082,0.9962,0.5569,0.2838
Cell_87,0.8907,0.9955,1.5714,0.9637,1.1864,3.6182,3.0241,5.1275,4.2635,3.1807,0.7285,0,0.4317,1.0809,1.433,1.3457,0.7706,0.454,0.9799,0.7012,1.6507,0.9258,1.6541,0.7125,0.8238,0.6989,1.2822,0.8714,1.301,1.3486,1.3599,1.4998,0.8849,1.2219,0.4623,0.7896,1.4357,0.6139,0.3185,0.2439,1.4182,1.2816,1.084,1.2208,0.463,0.864,0.5037,1.7171,0.3068,0.9397
Cell_88,0.4038,0.2615,1.7295,1.4887,0.2037,4.1242,3.2076,4.0228,3.823,3.61,0.4113,1.001,1.3177,2.0484,0.9161,1.178,1.3731,0.2203,1.9639,1.5487,0.3172,1.7458,0.8836,1.3438,1.4849,1.5352,1.3529,1.411,0.6899,1.3435,0.8982,0.1016,0.9813,1.2973,0.5241,0.3332,0.6108,1.4622,0.8596,0.2288,1.0138,1.0698,1.6113,1.0082,0.8134,1.0824,1.2514,0.6689,1.5902,1.1143
Cell_89,0.5702,1.2955,0.7737,1.1362,0.7595,4.2684,3.7514,4.8805,4.4822,4.2115,1.6044,0.434,1.585,0.6412,0.4073,0.608,1.3278,0,0.5573,1.9167,0.2475,1.9083,0.6868,0.518,1.3415,0.4201,0.6803,1.7626,1.0211,0.7717,1.0991,0.8754,0,1.1521,1.1245,1.8857,1.2587,1.7179,0.9553,1.1161,1.3166,2.1296,0.921,1.0973,1.753,0.6654,0.7962,0.6591,0.7626,1.3614
Cell_90,0.9612,0.4858,0,0.6681,0.3262,4.3857,4.339,4.1313,3.5591,4.8209,0.1899,0.5833,0.8576,1.2984,2.2519,1.3396,1.2207,1.5373,1.3489,1.0898,0.3764,0.6074,0.3746,0.8834,0.8823,0.4528,1.1625,0.5595,0.6886,0.6305,1.3449,0.582,1.2598,1.6752,1.166,0.9549,1.5985,1.5748,0.5989,0.9057,0.5666,1.3284,1.2393,1.7134,0.5075,0.6825,0.9086,1.7206,0.8422,0.5659
Cell_91,1.4244,0.9299,0.8153,1.0878,0.9991,4.7818,3.7376,4.3466,3.2985,3.9773,0.7311,1.3514,1.2544,0.3091,0.6589,1.0676,0.6203,1.4231,0.9374,1.6656,1.4551,0.3399,0.9541,1.8628,1.6907,0.8135,0.7376,0.7736,1.6214,0.2027,0.3159,0.971,0.7153,0.9841,1.7854,0.9131,0.6971,1.8827,0.8166,0.653,0.061,0.4359,1.648,2.351,0.4595,1.749,0.2128,1.234,1.8712,1.2296
Cell_92,1.7941,1.0105,0.2618,1.4329,0.4221,3.0623,4.5894,3.2952,2.7363,5.5187,0.604,0.9035,0.6512,0.275,0.9811,1.3719,1.0003,0.4775,0.2491,1.2867,0.5637,1.1597,0.3504,1.1172,1.1586,0.7994,1.063,1.0194,1.5017,1.3321,1.4507,0.7546,1.1101,1.604,2.5453,1.2964,1.0306,0.0008,0.8259,1.1709,0.5442,0,0.8933,1.2977,0.763,0.5929,0.5816,1.6211,1.3723,1.2871
Cell_93,1.0197,0.7696,1.1481,0.6156,1.0363,3.4053,2.9197,3.6998,4.218,4.2466,0.8217,0.8699,0.7424,0.5484,1.319,0.333,0.8519,1.3831,0.5061,0.4751,1.5794,0.4642,0.7323,0.0692,1.7448,2.3779,0.7335,0.847,1.0865,0.7121,1.5322,1.1188,1.0597,1.077,0.5415,1.5516,1.6796,0.4689,1.2695,1.115,1.0068,0.9453,0.7484,0.6896,1.6066,0.5285,1.4026,1.2805,0.7766,1.1661
Cell_94,0.131,0.1261,0.5377,1.209,1.042,4.3469,2.9306,3.7383,3.5891,2.9307,1.55,1.5216,0.8681,0.8059,1.6341,0.8334,1.7458,1.3187,0,1.6875,0.5869,1.2284,1.0285,0.121,0.2589,0.6701,0.5512,1.5361,1.0814,0.7824,1.9266,0.9444,1.064,1.7388,1.3793,1.4732,0.5499,0.6355,0.4871,1.0507,1.6601,1.2458,1.012,0.6029,0.816,0.4527,1.1914,0.3036,1.196,1.3634
Cell_95,0.7822,0.375,1.5628,0.923,1.6259,4.4433,3.5705,4.1149,4.6912,4.3183,1.0331,1.0424,0.1957,1.7778,1.3273,0.9167,1.4605,0.7895,1.0996,0.4027,0.6745,0.9859,1.3773,0.1266,0.3222,0,0.7873,0,0,1.0837,0.4691,0.9534,1.527,0.6551,1.1907,1.9748,1.4966,1.0405,0.891,1.4612,0.7723,0.3151,0.2765,1.183,1.6416,1.5258,1.3048,0.2256,1.1393,0.7946
Cell_96,1.9111,1.2824,0.6582,0.9288,1.0947,4.4321,4.0764,3.5821,4.7154,4.7116,0.7869,0.9758,0.7164,0.4885,0.3498,1.2673,1.7982,1.2897,1.2716,0.5272,0.8452,1.9059,0.7872,1.63,1.6251,0.732,0.8305,1.0864,1.3724,1.7751,0.3109,0.3246,0.9756,0.7928,1.0062,1.371,0.6738,1.3415,1.2215,0.685,1.3642,1.8634,0.9933,1.1351,1.1962,0.0467,0.457,0.9792,1.1564,1.5689
Cell_97,2.0889,0,1.0566,1.3704,0.672,3.2576,4.1981,3.5763,3.4318,4.4899,1.0937,1.597,1.0264,1.9253,1.5104,1.1579,0.5045,1.736,0.5547,1.3901,1.2507,0.6523,1.4789,2.079,1.6596,1.3721,1.9636,1.1782,0.3237,0.6648,1.1968,0.4994,0.3657,1.4062,1.0927,0.8963,0.9921,0.6736,0.7161,0.7537,1.5281,0.5557,1.094,0.1697,0.0042,1.546,0.2926,1.0771,0.733,1.6334
Cell_98,1.1763,1.0874,0.8383,1.5666,0.3699,3.6075,4.4904,3.9308,4.246,3.4645,1.6335,1.0936,1.4042,1.1787,0.2195,1.676,1.4785,0,1.4329,1.1284,1.0075,0.7894,1.2387,1.2719,0.9776,1.1701,1.3648,0.09,1.0296,2.1146,1.6106,0.5261,0.8625,0.9546,1.5676,1.0872,0.8985,0.9428,1.1822,0.4685,0.9075,1.018,1.6892,0.9724,0.6711,0.8652,1.2906,0.575,0.9492,0.935
Cell_99,0.7407,1.2054,0.6147,0.7883,1.5107,3.0858,4.2678,3.911,4.0378,4.035,0.8017,0.9756,1.1726,0.7467,1.5298,0.7771,0.8273,0,2.2866,1.9449,0.9564,0.9937,0.8236,1.0009,1.6069,1.6237,1.2212,1.1153,0.7604,0.6079,1.179,0.8603,0.9687,1.042,1.2465,0.7417,0.238,0.3212,0.7844,1.2491,1.007,0.9364,0.0881,0.9327,1.0229,0.554,1.1351,0.1053,0.7884,0.8263
Cell_100,0.9843,0,0.9331,1.2964,1.0027,3.4284,4.8751,4.8554,4.5704,2.999,0.5469,0.7491,1.3694,0.9979,1.4139,0.9719,1.5704,0.923,1.6928,1.6382,1.0016,1.3841,1.0209,0.4244,1.2681,0.9063,0.7503,1.541,0.4476,0.1109,0.4557,1.0735,0.4981,0.3123,1.1595,1.401,0.6321,0.9771,0.5899,1.3919,1.0181,0.3882,0.785,1.3772,1.1025,0.7677,1.7599,0.8827,1.5232,0.9192
Cell_101,1.8733,0.8513,0.877,0.7787,0.45,3.4981,4.1805,4.6838,4.9657,3.6112,1.0084,1.5639,1.4971,0.1691,1.919,1.5639,1.6807,0.7942,1.2647,0.3376,1.1823,1.5061,0.8268,1.409,1.3033,1.5519,1.3102,0,1.1364,0.8764,0.5423,0.0809,0.7708,1.5024,1.1888,0.8162,0.3492,0.0231,0.5108,1.3483,0.2467,1.6203,1.0757,0.9428,1.241,0.7043,0.2569,0.4846,0.3465,0.617
Cell_102,1.7687,1.0471,0.5831,2.1909,0.3449,4.1596,4.3109,4.5933,4.306,3.763,1.2172,0.6151,0.3609,1.3581,2.0234,0.9442,1.3288,0.4359,2.273,0.6697,1.1983,1.3286,1.3025,1.0373,1.3686,1.7843,0.5899,0.7783,1.3472,1.1353,0.9787,0.7046,0.4328,1.6503,0.6827,0.6462,0.7733,0.671,0.4378,1.8493,1.2433,1.7006,0.6531,0.8479,0.8792,1.4116,1.4557,1.2362,0.4573,2.0151
Cell_103,0.1911,2.1552,1.1363,0.6346,1.5037,4.4299,3.7064,3.2009,4.477,5.3367,1.3153,0.5759,1.2379,0.1758,1.336,1.1266,0.6327,0.5885,1.8587,1.4372,1.1091,0.3588,1.0376,1.1643,0.556,0.3226,1.1995,0.9051,0.5323,0.8441,0.7214,0.9253,1.1172,0.6439,0.3593,1.915,1.0153,1.7008,1.2032,0.8476,1.0798,1.3621,1.674,0.4284,0.6305,0.55,0.3975,1.1101,1.3168,1.6341
Cell_104,0.8563,1.0465,1.4613,0.1719,0.2808,3.5308,4.0464,3.4893,4.4277,4.1614,1.1342,0.2361,1.4159,1.9163,1.6925,0.9544,0.8849,1.2971,1.9988,1.7289,1.6213,1.5221,1.4743,1.5992,1.245,0.8247,1.6323,1.4359,0.1641,0.5866,0.0914,1.6114,1.3542,0.9434,0.0784,1.2464,0.4955,1.9332,1.179,0.8371,1.7259,1.1159,1.401,1.0592,1.7652,0.3912,1.9739,0.833,0.9398,1.3914
Cell_105,1.4935,1.4959,1.0855,0.2704,1.6262,4.0498,4.2283,3.969,3.3584,4.3671,1.5736,1.6778,0.8539,1.2422,1.0598,0.6333,0.9669,0.4566,1.6954,1.1773,0.8117,1.4395,1.1121,1.9435,1.3981,1.06,1.2702,1.5144,0.8049,0.3236,0.7455,1.0586,1.7634,1.1306,1.334,2.0424,1.4309,1.8116,0.5182,0.4424,1.8983,1.1958,0.647,1.2496,1.9179,1.3007,0.0495,0.9636,1.3732,0.6029
Cell_106,0.6831,0.9987,1.3449,0.3435,0.7124,3.8379,3.5967,4.4194,3.5894,3.8869,0.8089,0.909,0.7185,0.6168,1.0496,1.7616,0.2226,0.2436,0.3991,1.1137,0.8845,0.7797,1.0034,1.6512,0.596,0.9516,1.6748,0.82,0.2183,1.7615,1.4029,1.7303,0.7743,0.8558,0.143,0.6332,1.0883,1.1165,1.128,0.2566,1.0734,1.0565,1.6597,1.4168,0.8067,1.469,0.7987,1.1409,0.8155,1.113
Cell_107,0.52,1.2546,0.5571,1.4706,0.2834,3.5905,3.4255,3.2956,3.4988,4.1214,0.5233,1.2321,0.2269,1.091,1.4992,1.2678,0.4391,1.3386,1.3666,0.6567,0.9319,1.2507,1.4512,1.3691,0.9642,1.2732,1.2012,1.274,0.8963,1.9719,1.0359,0,1.1304,0.5449,1.0271,0.8444,0.7824,1.3273,1.9745,1.6888,0.6301,0.86,0.623,0.6299,1.3851,0.7337,0.5149,1.2339,1.2755,2.0677
Cell_108,0.4558,0.6261,1.4267,0.6962,1.8825,5.057,3.3802,2.8586,5.1413,3.5113,1.6658,0.7397,0.8204,1.137,0.712,0.5961,0,0.232,0.5315,0.6482,1.1187,0.1431,0.9924,0.253,1.3109,0.302,0.6556,1.6009,1.7789,0.7082,0.52,1.8875,0.9851,1.0799,0.9909,0.8614,1.1014,1.6726,0.5582,0.9964,0.7871,1.3679,0.2595,0.924,0.5166,1.3303,0.5028,0.8313,1.1582,2.0565
